gene,in_top25_RF_importance,in_top25_XGB_importance,in_top25_RF_SHAP,in_top25_XGB_SHAP,in_top25_MLP_permutation,agreement_count,rf_importance,xgb_importance,rf_shap_importance,xgb_shap_importance,mlp_perm_importance_mean
gene_203,True,True,True,True,True,5,0.012778896018728439,0.013816674,0.00511574967609865,0.12735775,0.0
gene_2037,True,True,True,True,True,5,0.014152528724834247,0.02776334,0.005904952414952924,0.26526237,0.0
gene_15898,True,True,True,True,False,4,0.01964614228084558,0.023032686,0.008287019349681238,0.17152458,0.0
gene_18746,True,True,True,True,False,4,0.017661954248401113,0.03331213,0.009260497154041336,0.27063346,0.0
gene_17801,True,True,True,True,False,4,0.013066517332529122,0.018180579,0.0064572080701791055,0.14215007,0.0
gene_18135,True,True,True,True,False,4,0.020833265416520138,0.02931284,0.009058139316500407,0.119100906,0.0
gene_11910,True,True,True,True,False,4,0.012084072483568319,0.019914037,0.005194771893460487,0.12749305,0.0
gene_7964,True,True,True,True,False,4,0.01911098061695846,0.021826122,0.009444273990372874,0.12523894,0.0
gene_9176,True,True,True,True,False,4,0.019521654623563894,0.013134523,0.008674407260587177,0.030972313,-0.0007933884297520455
gene_7421,True,True,True,True,False,4,0.013664848276777435,0.027833935,0.006058030397767896,0.09697588,0.0
gene_6733,True,True,True,True,False,4,0.013086322353979099,0.03157228,0.005755851234766082,0.1731091,0.0
gene_15895,True,True,True,True,False,4,0.01591493106299319,0.025602683,0.006519095684470686,0.27049214,0.0
gene_9175,True,True,True,True,False,4,0.015583116436811015,0.03353058,0.007050154376858253,0.18037444,0.0
gene_14114,True,True,True,True,False,4,0.014665979945957898,0.083306395,0.006636888521076517,0.031056542,0.0
gene_3439,True,True,True,True,False,4,0.012918330459256354,0.012266489,0.005509819218999489,0.032896955,0.0
gene_6876,True,False,True,True,False,3,0.011984528311586806,0.0010870959,0.005258656255666578,0.055195827,0.0
gene_15896,True,True,True,False,False,3,0.01574996763899406,0.035052862,0.0065197817882432976,0.024292178,0.0
gene_16358,True,False,True,False,True,3,0.016485682674654226,0.0022075325,0.007264267297861078,0.020167442,0.0004979053204859696
gene_11903,True,True,True,False,False,3,0.022641242112238072,0.06272046,0.00862061365373587,0.0115936715,0.0
gene_1858,False,True,False,True,True,3,0.01124624723186512,0.012231999,0.004979401970329205,0.1434788,0.0
gene_14798,True,True,True,False,False,3,0.018252560432816055,0.014234907,0.008162379945549133,0.019744836,0.0
gene_3921,True,False,True,False,False,2,0.01672403357706868,0.0,0.008295027829174665,0.0,0.0
gene_220,False,True,False,False,True,2,0.01148731267819746,0.08498369,0.004922414395984109,0.012572736,0.0
gene_10284,True,False,True,False,False,2,0.012092995462699459,0.0,0.005147843406548903,0.0,0.0
gene_13818,True,False,True,False,False,2,0.01268877533584022,0.0,0.005306868696189314,0.0,0.0
gene_3737,True,False,True,False,False,2,0.014112860518524646,0.0012002399,0.005907393297298002,0.003245235,0.0
gene_5729,False,True,False,True,False,2,0.0102261991629796,0.026287226,0.004359705079978511,0.03399926,0.0
gene_590,False,False,False,False,True,1,0.00019055662600110592,0.0003215593,0.0002692312189604892,0.00043312844,0.0
gene_1515,False,False,False,False,True,1,0.0012967026750099315,0.0,0.0006492611510464571,0.0,0.0
gene_12078,False,True,False,False,False,1,0.0014499988124879939,0.011367763,0.0009199590683895174,0.017778486,0.0
gene_8349,False,False,False,True,False,1,0.006916029879538359,0.00034283006,0.0023739363934569047,0.03916205,0.0
gene_7896,False,False,True,False,False,1,0.01189618512228034,0.00025464324,0.006032910781530344,0.0008802317,0.0
gene_1923,False,False,False,False,True,1,0.00880252891037103,0.0,0.003467029878313014,0.0,0.0
gene_219,False,True,False,False,False,1,0.0061989183632511205,0.0427376,0.002668615225281198,0.017538417,0.0
gene_450,False,False,False,False,True,1,0.002535179583129006,0.0,0.0010555078874215555,0.0,0.0
gene_545,False,False,False,False,True,1,0.0002608533156907363,0.00029933907,0.0003220862702507642,0.0006113001,0.0
gene_2073,False,False,False,False,True,1,0.00012514099931017021,0.0004589668,0.0002685556543641977,0.0012390795,0.0
gene_2575,False,False,False,False,True,1,0.0010926719602120862,0.0,0.0004617120036103676,0.0,0.0
gene_5829,False,False,False,True,False,1,0.009118772439523708,0.0056500365,0.003720776450208224,0.061012376,0.0
gene_628,False,False,False,False,True,1,0.0036314795450501113,0.0005041487,0.0014189318394341307,0.00014270007,0.0
gene_6593,False,False,False,False,True,1,0.001936023485319137,4.125096e-05,0.0007106719041475836,0.0005146112,0.0004979053204859696
gene_5407,True,False,False,False,False,1,0.012043607492584554,0.0014807942,0.004880974908398856,0.004700889,0.0
gene_30,False,False,False,False,True,1,0.007468054893067912,0.0019621337,0.0026660528512278026,0.0015424342,0.0
gene_145,False,False,False,False,True,1,0.0038737228296155807,0.0012689057,0.0014790774188647904,0.0014616242,0.0
gene_11652,False,True,False,False,False,1,0.006132885704924043,0.2048407,0.0024693869482786054,0.007140046,0.0
gene_3010,False,False,False,False,True,1,0.0006332053167696036,0.00013058755,0.00030789643839506346,7.4010924e-05,0.0002024222112198937
gene_2288,False,False,False,False,True,1,0.006211996498402658,0.009599285,0.002610219889284745,0.012740192,0.0
gene_15591,False,False,False,True,False,1,0.010426427437539285,0.0013482252,0.004028980712632293,0.048640314,0.0
gene_742,False,False,False,False,True,1,0.003786130092154775,0.0,0.0016110533108268969,0.0,0.0
gene_3524,False,False,False,True,False,1,0.009408820020310692,0.009455052,0.003882735869209316,0.16300169,0.0
gene_1735,False,False,False,False,True,1,0.0014672488931305571,0.0029359718,0.0007191911438505815,0.001443004,0.0
gene_439,False,False,False,False,True,1,0.0026332304758646275,0.00029872885,0.0009295192715951562,0.0021770238,0.0
gene_13639,False,False,False,True,False,1,0.0074603757081196246,0.0006067277,0.002652430689618292,0.053296637,0.0
gene_15589,False,False,False,True,False,1,0.005883745399626586,0.0007331654,0.0025355813613899534,0.057030164,0.0
gene_1216,False,False,False,False,True,1,0.00013873329485573492,0.0,0.00012397306403201142,0.0,0.0
gene_2318,False,False,False,False,True,1,0.001832574282344546,3.196787e-05,0.0012925807873887844,0.0011376942,0.0
gene_2639,False,False,False,False,True,1,0.003098859980005883,0.00059327495,0.0015379741622115713,0.00081310916,0.0
gene_775,False,False,False,False,True,1,0.0015428221725220972,4.1933627e-06,0.0008048109880002385,5.009546e-05,0.0
gene_6748,False,False,False,True,False,1,0.002762115020319431,0.0008346728,0.0013696126108387247,0.03214438,0.0
gene_8596,False,True,False,False,False,1,0.002860242018003102,0.009638472,0.0010221884918527233,0.002254824,0.0
gene_8988,False,False,False,False,False,0,0.0009246251514155475,0.0004719721,0.000446341288998943,0.001237514,0.0
gene_18214,False,False,False,False,False,0,0.0013606669141965877,0.0,0.0006147135791202751,0.0,0.0
gene_19159,False,False,False,False,False,0,0.002551619908556955,0.0,0.0009955964091986024,0.0,0.0
gene_10098,False,False,False,False,False,0,0.004653438001111346,0.0005261899,0.0015526872029193786,0.014898479,0.0
gene_5830,False,False,False,False,False,0,0.007186036785780565,0.0007082505,0.0027754614142125157,0.021995546,0.0
gene_17109,False,False,False,False,False,0,0.002101557584659704,0.0,0.0008104668441343998,0.0,0.0
gene_6164,False,False,False,False,False,0,9.272225931916236e-05,0.0,0.0002441455844673379,0.0,0.0
gene_7992,False,False,False,False,False,0,0.003058836673459022,0.0,0.001628237820509964,0.0,0.0
gene_7058,False,False,False,False,False,0,0.004021441050539929,0.00055318733,0.0014179891358000014,0.00058216613,-0.0002644628099173485
