gene,mlp_perm_importance_mean,mlp_perm_importance_std
gene_6593,0.0004979053204859696,0.0021703189754495736
gene_16358,0.0004979053204859696,0.002170318975449573
gene_3010,0.0002024222112198937,0.0037512462255758516
gene_30,0.0,0.0
gene_220,0.0,0.0
gene_439,0.0,0.0
gene_203,0.0,0.0
gene_145,0.0,0.0
gene_545,0.0,0.0
gene_450,0.0,0.0
gene_742,0.0,0.0
gene_590,0.0,0.0
gene_1216,0.0,0.0
gene_1515,0.0,0.0
gene_1735,0.0,0.0
gene_628,0.0,0.0
gene_1858,0.0,0.0
gene_1923,0.0,0.0
gene_2037,0.0,0.0
gene_2073,0.0,0.0
gene_2288,0.0,0.0
gene_2318,0.0,0.0
gene_2575,0.0,0.0
gene_775,0.0,0.0
gene_2639,0.0,0.0
