gene,xgb_importance
gene_11652,0.2048407
gene_220,0.08498369
gene_14114,0.083306395
gene_11903,0.06272046
gene_219,0.0427376
gene_15896,0.035052862
gene_9175,0.03353058
gene_18746,0.03331213
gene_6733,0.03157228
gene_18135,0.02931284
gene_7421,0.027833935
gene_2037,0.02776334
gene_5729,0.026287226
gene_15895,0.025602683
gene_15898,0.023032686
gene_7964,0.021826122
gene_11910,0.019914037
gene_17801,0.018180579
gene_14798,0.014234907
gene_203,0.013816674
gene_9176,0.013134523
gene_3439,0.012266489
gene_1858,0.012231999
gene_12078,0.011367763
gene_8596,0.009638472
